Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
12.0,Algeria,607.0989010636695,671.6359889805317,736.8530219520908,802.7499999783468,869.3269230590668,936.5837911949493,1004.520604385063,1073.1373626296408,1142.4340659286827,1130,1400.0,1400.0,1400.0,1450.0,1550.0,1650.0,1700.0,1800.0,1846.0,1980.0,2100.0,2115.0,2130.0,2263.4780219690874,1124.699951,1178.47998,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,,,1998,1983,1995.0,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974.0,0.0,0.0,0.03571428571428571,0.06896551724137931,0.06451612903225806,0.030303030303030304,0.058823529411764705,0.025555555555555557,0.07258938244853738,0.06060606060606061,0.007142857142857143,0.0070921985815602835,0.06266573801365606,-0.5031098424266652,0.04781722356454518,,
28.0,Antigua and Barbuda,-1.8030489683806081,-1.4147208378926734,-1.0448610054663732,-0.6934694710653275,-0.36054623469681246,-0.04609129638993181,0.2498953438916942,0.5274136861189618,0.7864637303209747,1.0270454764686292,1.249158924591029,1.74000001,1.679999948,1.570000052,1.700000048,2.079999924,2.119999886,2.210000038,2.361207780057157,2.417106545814022,2.75999999,2.74000001,2.74000001,1.929999948,1.950000048,2.029999971,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2,2,2,2.0,2.0,23,,,1993,1997,1993.0,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983.0,0.3929372602206487,-0.0344827940546965,-0.0654761305980708,0.08280254248042536,0.22352933251211302,0.019230751664200543,0.0424529041696373,0.06841979160959495,0.023673802123213364,0.1418611210084245,-0.0072463695914722435,0.0,-0.29562045950503485,0.010362746393193092,0.04102560052860067,,
51.0,Armenia,345.6000061,361.1384005728178,333.27971212984994,306.7526805414818,281.55730580491945,327.7999878,289.2999878,207.8000031,170.8999939,138.6999969,154.6999969,152.8999939,139.6999969,116.4000015,90.59999847,81.80000305,67.5,59.20000076,61.90000153,61.59999847,61.0,62.70000076,65.30000305,68.5,71.30000305,72.69999695,73.90000153,80.19999695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993.0,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993.0,-0.011635443025661779,-0.08633091907533422,-0.16678594070892208,-0.22164950771070221,-0.09713019391400882,-0.17481665668470903,-0.12296295170370368,0.04560812052935513,-0.004846575970674206,-0.009740235144522118,0.027868864918032817,0.04146734064569091,0.04900454518432062,0.04087595693430658,0.019635257224578734,0.01650625351229809,0.08525027455435835
36.0,Australia,3443.2504044547677,3282.2824640665203,3128.735961837694,2982.6108977608383,2843.907271841541,2712.6250840779394,2588.7643344700336,2472.3250230178237,2363.307149725035,2261.710714586079,2167.535717602819,2056.0,2001.4500381033868,1929.5393555909395,1865.0501112323254,1874.0,1758.335936980322,1716.1110070887953,1681.3075153585523,1615.0,1663.0,1555.0,1587.0,1683.0,1713.0,1706.0,1743.0,1758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1976,1993.0,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974.0,-0.051457383930065916,-0.026532082634539513,-0.0359292918351293,-0.033422093294833914,0.004798739033216088,-0.061720417833339376,-0.024014142578489113,-0.02028044315692811,-0.039438065168234095,0.029721362229102165,-0.06494287432351173,0.020578778135048232,0.06049149338374291,0.017825311942959002,-0.004086398131932283,0.021688159437280186,0.008605851979345954
40.0,Austria,350,449.1000061,477.7000122,469,465.6000061,337.3999939,340.7000122,343.2999878,346.5,348.8999939,351.2000122,353.5,356.2999878,347.8800563546829,348.42519178427756,350.11669401824474,352.95456305751577,356.938798901625,362.069401551038,368.34637100528926,381.0,384.33941032970324,394.055480199866,404.91791687486693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994.0,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992.0,0.006548939977514034,0.00792075756718528,-0.023631579381482942,0.0015670212179075599,0.004854707047171418,0.00810549479004033,0.011288240077122775,0.014373900134143395,0.017336370948116187,0.034352527921414064,0.008764856508407458,0.025279920843475,0.027565754622906093,,,,
31.0,Azerbaijan,678,626.24077621568,605.9283176782774,585.7632852053503,565.7456787967822,512,551,506,410,634,378.0,247.0,403.0,361.2000122,437.7999878,433.0,427.2999878,302.5,303.0,302.5,302.1000061,215.6000061,184.1000061,200.5,211.8000031,214.0,213.8999939,188.8000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993.0,-0.34656084656084657,0.631578947368421,-0.10372205409429279,0.21207080014600285,-0.010963882900318337,-0.013164000461893772,-0.2920664436302612,0.001652892561983471,-0.0016501650165016502,-0.001322293884297609,-0.28632902434092333,-0.1461038919701589,0.0890819845551325,0.05635911770573565,0.010387142907459204,-0.0004673182242990731,-0.11734451386536482
48.0,Bahrain,94,91.6048471305985,90.82805421599187,90.77589700184762,91.44837548909709,92.8454896772746,94.96723956661299,97.81362515757792,101.38464644923806,105.68030344205908,110.70059613604099,116.44552453095093,122.91508862725459,130.10928842495196,138.8999939,143.5,149.6999969,153.1000061,180.8999939,200.6000061,214.0,221.8000031,223.0,229.8000031,239.6999969,239.3999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996.0,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991.0,0.05189609266286112,0.05555871831367862,0.05852983452270935,0.06756401162026637,0.033117395982837416,0.04320555331010455,0.022712152774934356,0.18158057930998342,0.108900015833555,0.06679956875634412,0.03644861261682242,0.005410265478936786,0.03049328744394618,0.04308091238663697,-0.0012515769874004692,,
50.0,Bangladesh,1350.0788655150682,1212.1374362614006,1081.7331498935819,958.8660064097494,843.5360058099031,735.7431480959058,635.4874332677573,542.768861323595,457.58743226341903,379.9431460890919,309.83600280061364,247.26600239612162,192.23314487561584,144.73743024095893,104.7788584921509,72.35742962732911,47.473143646493554,30.126000551506877,20.316000340506434,20.68000031,22.07999992,23.96999931,73.86000061,77.63999939,78.12000275,669.960022,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,5.0,5.0,6,,,1993,1981,1994.0,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983.0,-0.20194554486541452,-0.22256540319822382,-0.24707349331141065,-0.2760762829786668,-0.30942720059553347,-0.34390782133914916,-0.3654096139948374,-0.3256323451972371,0.017916910976212966,0.06769823931400117,0.08559779877028188,2.0813518037602314,0.05117788720256551,0.006182423541618703,7.576036846081652,,
112.0,Belarus,2024.4757567159832,1891.7060598395765,1764.7999993152916,1643.7575751561671,1528.5787873510271,1419.2636359073222,1315.8121208250523,1218.2242420949042,1126.4999997280538,1040.6393937170506,960.6424240674824,886.5090907737613,818.2393938433379,755.833333266899,669.0,660.0,624.0,576.0,573.0,501.0,427.0,425.0,493.0,468.0,473.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993.0,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988.0,-0.07717058026630877,-0.07700958471935843,-0.07626870698966533,-0.11488423365979879,-0.013452914798206279,-0.05454545454545454,-0.07692307692307693,-0.005208333333333333,-0.1256544502617801,-0.14770459081836326,-0.00468384074941452,0.16,-0.05070993914807302,0.010683760683760684,-0.0021141649048625794,,
56.0,Belgium,367.01256498135626,392.83945914916694,414.09737044386566,430.78629886358976,442.9062444102019,432.3999939,453.439186880365,451.8521838057786,445.6961978562176,434.971229031682,422.1000061,414.2999878,397.7999878,403.6000061,399.6000061,148.7799988,147.4299927,147.1100006,146.1100006,145.8899994,15.44370230473578,-50.10906100645661,-120.23080718889832,-194.92153624631464,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,1993,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996.0,-0.01847907649201045,-0.03982621406198362,0.014580237500952423,-0.009910802625233162,-0.6276776863642796,-0.00907384131528823,-0.0021704681261915807,-0.006797634395496019,-0.0015057230791635002,-0.8941414602217362,-4.2446274874834105,1.399382562235729,0.6212278766461862,,,,
