Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017",Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,,,,,,,,,,,,,,,,,,,,,,,,14280.0,16956.0,14790.0,18270.0,14885.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1999.0,2003,1994.0,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,18.73949579831933,-12.774239207360228,23.52941176470588,-18.527640941434047
12.0,Algeria,-972.0232912823558,-823.0136217102408,-683.0528531782329,-552.1409856975079,-430.2780192606151,-317.46395387127995,-213.6987895220518,-118.98252622410655,-33.31516396999359,43.303297240287066,50.0,245.0,245.0,276.0,276.0,276.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,66.80000305,66.80000305,66.80000305,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,1998.0,1983,1995.0,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,390.0,0.0,12.653061224489795,0.0,0.0,11.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,-78.24104135179154,0.0,0.0,,
20.0,Andorra,28.73719597,32.16309209220344,31.28042665575049,30.4428192145715,29.650269768593716,24.51856804,44.85888672,25.47115707,18.37098122,29.87985992,30.20063591,24.47259712,33.17750931,28.33630371,18.57633209,18.97390175,15.87197876,12.79845524,29.93157196,27.01101494,26.32811546,16.44216728,20.10008621,31.73136139,33.45061874,25.41829872,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,1999.0,…,2015.0,,,2009.0,2017,2012,,,,2002.0,2011.0,1997,-18.966616488043346,35.570038387490925,-14.591829527543274,-34.44334772765604,2.1401946200887414,-16.348366460788704,-19.364463413634258,133.86863022697105,-9.757446163879996,-2.5282259164157113,-37.54901559520888,22.2471823069787,57.86679250267752,5.418164474159055,-24.012470688307523,,
51.0,Armenia,499.10400011204183,580.3044499401003,655.9657847378403,726.0880045127124,790.6711092609912,1189,903.219973674044,951.1857333406806,993.6123779825866,1030.4999075941741,641.0,557.0,1062.0,1086.0,1546.0,1063.0,1157.0,1513.0,901.0,1294.0,1783.0,773.0,641.0,842.0,471.0,763.0,798.0,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,2008,1993.0,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-13.104524180967239,90.66427289048474,2.2598870056497176,42.35727440147329,-31.241914618369986,8.842897460018815,30.76923076923077,-40.44943820224719,43.61820199778024,37.789799072642964,-56.64610207515424,-17.076326002587322,31.357254290171603,-44.06175771971497,61.995753715498935,4.587155963302752,-11.027568922305765
31.0,Azerbaijan,17895.90039,13304.706532642245,14142.784502282739,14921.167668893933,15639.856032460928,19792.09961,7863.799805,11925.40039,11752.5,18948.59961,18773.19922,18506.80078,22201.90039,24072.09961,22556.40039,19566.19922,24687.5,21385.5,16687.0,16806.0,23132.0,20263.0,15565.0,14340.0,13967.0,14217.0,14854.0,12139.0,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,2001.0,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-1.4190359185886123,19.966171646442703,8.423599724113537,-6.296497790206685,-13.25655298850634,26.174223835793093,-13.375189873417723,-21.97049402632625,0.7131299814226644,37.641318576698794,-12.402732145945011,-23.185115728174505,-7.870221651140379,-2.601115760111576,1.7899334144769814,4.48055145248646,-18.277904941429917
48.0,Bahrain,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,2012,1996.0,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,
50.0,Bangladesh,1427332.375,1391772.256521225,1347199.3309574127,1305399.9761629105,1266374.1921367645,1230121.9788837433,1196643.336397171,1165938.264681816,1138006.7637376785,1112848.8335609436,1090464.4741544724,1070853.6855201721,1054016.4676532745,1039952.8205566406,1145326.0,925951.0,1073899.25,1000922.0,1128249.0,907241.0,1031774.0,786620.3125,944239.0,1303778.0,1187102.0,1145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1981,1994.0,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,-1.7983885856993282,-1.5723173104380574,-1.3342910218420077,10.132496144099862,-19.153935211459444,15.977978316347194,-6.795539711942252,12.720971264494136,-19.588583725755573,13.726562181382896,-23.76040562177376,20.037454537509163,38.07711818723861,-8.949069550184158,-3.5466202567260434,,
112.0,Belarus,30200,27431.45078045875,26948.303275831044,26497.073968164623,26077.762857474387,22700,17300,19700,36800,29100,27600.0,24500.0,19500.0,19600.0,23100.0,24800.0,26800.0,22300.0,23400.0,23100.0,23709.659874163568,23832.958111949265,23988.174546681345,24175.30917839706,,,,,5,,,,,5,,,,5,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,1999.0,1995,1993.0,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,-11.231884057971014,-20.408163265306122,0.5128205128205128,17.857142857142858,7.35930735930736,8.064516129032258,-16.791044776119403,4.932735426008969,-1.282051282051282,2.6392202344743203,0.5200337686836881,0.6512680213802657,0.7801120145742986,,,,
56.0,Belgium,439859.29970932007,399590.0997347832,361321.89975976944,325054.6997823715,290788.4998049736,258523.299826622,228259.09984588623,199995.8998646736,173733.69988155365,149472.49989843369,127212.29991292953,106953.09992742538,88694.89993953705,72437.69995117188,58181.49996185303,45926.29997062683,35672.0999789238,27418.899985313416,21166.699991226196,16915.49999523163,15245.0,12677.0,17907.0,19341.0,15723.0,15631.0,18066.0,11589.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1993.0,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,-15.925504058468057,-17.071220937287194,-18.329351517897464,-19.68063591048381,-21.06374019105966,-22.327511683417413,-23.13628857983307,-22.802519420677456,-20.084377809279346,-9.875557894845151,-16.84486716956379,41.255817622465884,8.008041547997989,-18.70637505816659,-0.5851300642371049,15.578018041072228,-35.851876453005644
60.0,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
