Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
20,Andorra,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,…,2015.0,,,2009.0,2017,2012,,,,2002.0,2011.0,1997.0,,,,,,,,,,,,,,,,,
31,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993.0,,,,,,,,,,,,,,,,,
48,Bahrain,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,2012,1996.0,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991.0,,,,,,,,,,,,,,,,,
112,Belarus,193.3505759879481,148.1999969,138.3000031,130.3999939,128.1000061,122.3000031,119.1999969,113.3000031,110.0999985,108.40178287215531,106.77558995783329,105.85058699105866,105.62677397183143,106.10415090015158,107.28271777601913,109.1624745996669,111.74342137132771,115.02555808983743,119.00888475612737,123.6934013699647,129.07910793134943,135.16600444051437,141.95409089699388,149.44336730171926,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,1995,1993.0,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988.0,-4.949659356912285,-2.8243640886537626,-1.5424302007094846,-1.5001532919803404,-0.8663056482665376,-0.21144239780752683,0.45194689790247833,1.110764155661192,1.7521525019269684,2.3643168415941123,2.937208005832443,3.4629926882674864,3.936274693638906,4.3540775027086305,4.715632612213475,5.0220367795712235,5.275844012244656
344,China Hong Kong Special Administrative Region,103.79995974944904,59.61427649948746,56.51999438600615,55.339997119270265,55.79999924,60,61.09999847,71.40000153,77.69999695,88.45999527582899,100.67999192886055,114.81427342677489,130.86283977143466,148.82569096097723,168.70282699726522,190.49424787797034,214.1999536054209,239.81994417868555,267.354219596833,296.80277986172587,328.16562497103587,361.4427549270913,396.6341697280295,433.73986937571317,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8576159049452,8.823522808123393,13.848132237061803,13.814150243766266,14.038818664091156,13.97784950047615,13.726472099273193,13.355984378731941,12.917045474915707,12.444315768860541,11.960782503463752,11.4812283492286,11.0148103550791,10.56689735989713,10.140346039897535,9.736372999933803,9.3551444831712
446,China Macao Special Administrative Region,1.2446429207993788,0.300000012,0.400000006,0.100000001,0.100000001,0.200000003,0.200000003,0.300000012,0.300000012,0.45535716483573196,0.6029762220277917,0.7803571858312353,0.987500056202407,1.2244048331776867,1.4910715167279704,1.7875001068678102,2.113690603611758,2.46964300693071,2.8553573168392177,3.2708335333445575,3.7160716564321774,4.191071686116629,4.695833622383361,5.230357465232373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.000003749999934,0.0,51.785715540482045,32.41830119117871,29.417571924630217,26.544622658984483,23.99035579667061,21.779290339634333,19.880239600467124,18.24841830725945,16.840326711521545,15.618221290528803,14.550760917210098,13.612374905314923,12.782316209168643,12.043743798007787,11.382938277479164
188,Costa Rica,11630.706067979336,6769.433337584138,5957.133337050676,5198.151518389583,4492.487881541252,3840.1424265801907,3241.115153476596,2695.4060621857643,2203.0151527673006,1763.9424252212048,1378.1878795176744,1045.7515156269073,766.6333336234093,540.8333334773779,211.0,213.0,366.0,371.0,374.0,204.0,208.0,215.0,1342.0,1215.3333337754011,,,,,,,,,,,,,,,,,,,,,,,2.0,,1995.0,1975,1994.0,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977.0,-16.83707814902764,-18.267782221249924,-19.930535974505577,-21.868885298518475,-24.121265963179862,-26.69067917498281,-29.453454505925563,-60.98613252194712,0.9478672985781991,71.83098591549296,1.366120218579235,0.8086253369272237,-45.45454545454545,1.9607843137254901,3.3653846153846154,524.1860465116279,-9.43864874997011
368,Iraq,,,,,,,,,,,,,,,,,,,10.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,2014,2009.0,2016,2009,2008.0,,2008,2017,2016,1985,2010.0,2009.0,1974.0,,,,,,,,,,,,,,,,,
480,Mauritius,1.399999976,3.099999905,3.599999905,4.300000191,4.400000095,4.699999809,5.0,5.405957408698669,5.738561245800156,6.065440663296613,6.386595661177125,6.702026239452607,7.011732398112144,7.315714137164832,7.6139714566033945,7.90650435642965,8.193312836650875,8.474396897256156,8.749756538254587,9.019391759638893,9.283302561416349,9.54148894357968,9.793950906134341,10.040688449076697,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,1992.0,1975,1993.0,2004,2001,1992.0,2016,2001,2005,2004,1994,1996.0,1992.0,1995.0,8.119148173973372,6.1525426849700695,5.6961911443515225,5.294833726160998,4.93894705426434,4.621082454682135,4.335330012516344,4.076940594539829,3.842054064604481,3.6275004387746854,3.4306521209335092,3.2493125391328697,3.0816311311685114,2.9260376842531364,2.781191073491622,2.6459388471496346,2.51928507001004
492,Monaco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,1978,1993.0,1993,2006,1993.0,2016,1997,,2004,1996,1999.0,1992.0,1978.0,,,,,,,,,,,,,,,,,
